Objective,Algorithm,ScenarioID,Description,RiseTime,SettlingTime,OvershootPct,SteadyStateError,PeakTime,ObjectiveValue
ITAE,KMA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066657013,24.97973556993335,3852.3654985678572
ITAE,KMA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567376616,24.97826472343262,4140.031611540503
ITAE,KMA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.018793583604384878,24.981206416395615,3566.3048785675464
ITAE,KMA,S3,Res+20%,0.761501680604928,0.8,0.0,0.023206123106568555,24.976793876893428,4408.441199639256
ITAE,KMA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06260929323276088,24.93739070676724,11954.396819046375
ITAE,KMA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902153618,24.931685370978457,13151.991929477043
ITAE,KMA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05690395802270487,24.94309604197729,10809.723680957191
ITAE,KMA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752532089,24.934493702474672,12530.494068462987
ITAE,KMA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.02252731014232623,25.02252731014233,4252.030036182586
ITAE,KMA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102845254,25.025335637102845,4782.640122882937
ITAE,KMA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041592253,25.0197189830416,3721.4975720532198
ITAE,KMA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.019630310234809656,25.019630310234817,3708.6239017984976
ITAE,GA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.022585115859616423,24.977414884140376,4288.367714068953
ITAE,GA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.02422440401506165,24.97577559598494,4607.654801032076
ITAE,GA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.020945827757433477,24.979054172242567,3970.682915074184
ITAE,GA,S3,Res+20%,0.761501680604928,0.8,0.0,0.025863692223747847,24.974136307776252,4907.721042422439
ITAE,GA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.0697793259319539,24.930220674068053,13300.362946509715
ITAE,GA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.07613803920829199,24.9238619607917,14619.613089810828
