Objective,ScenarioID,Description,Algorithm,Cost,TTC_Min,TET,TIT,Max_Jerk,ObjectiveValue
ITAE,S0,Normal,KMA,930863.1308844008,17.241717110514223,0.0,0.0,114.17389658260029,1310230.8243604193
ITAE,S0,Normal,GA,930863.1308844008,17.26395606474212,0.0,0.0,107.06802057954843,1320367.5383893098
ITAE,S0,Normal,HOA,930863.1308844008,17.241717110514223,0.0,0.0,114.17389658260029,1310253.267272731
ITAE,S0,Normal,PSO,930863.1308844008,17.241717110514223,0.0,0.0,114.17389658260029,1310230.8243599215
ITAE,S0,Normal,SKA,930863.1308844008,17.241717110514287,0.0,0.0,114.17389658265846,1310230.8243692564
ITAE,S1,Mass+10%,KMA,930863.1308844008,17.145908975761635,0.0,0.0,89.13516762379871,1332411.400579596
ITAE,S1,Mass+10%,GA,930863.1308844008,17.16952028595076,0.0,0.0,76.15310018394956,1340653.8370803783
ITAE,S1,Mass+10%,HOA,930863.1308844008,17.145908975761635,0.0,0.0,85.67384286694725,1332671.8366341945
ITAE,S1,Mass+10%,PSO,930863.1308844008,17.145908975761635,0.0,0.0,89.13516431771984,1332411.400828323
ITAE,S1,Mass+10%,SKA,930863.1308844008,17.145908975761696,0.0,0.0,89.13531272894198,1332411.3896624348
ITAE,S2,Mass-10%,KMA,930863.1308844008,17.34758737392199,0.0,0.0,139.0369835483931,1290581.989561961
ITAE,S2,Mass-10%,GA,930863.1308844008,17.359986814974995,0.0,0.0,108.73931439455119,1301062.1191866777
ITAE,S2,Mass-10%,HOA,930863.1308844008,17.34061291398392,0.0,0.0,139.0369835483931,1290419.455562979
ITAE,S2,Mass-10%,PSO,930863.1308844008,17.347587367257677,0.0,0.0,139.0369835483931,1290581.989400312
ITAE,S2,Mass-10%,SKA,930863.1308844008,17.34758766642209,0.0,0.0,139.03698354824348,1290581.9966588165
ITAE,S3,Res+20%,KMA,930863.1308844008,17.202501089309276,0.0,0.0,103.05846556087425,1329858.6578182932
ITAE,S3,Res+20%,GA,930863.1308844008,17.22786150810628,0.0,0.0,106.28257119485569,1339077.4673825197
ITAE,S3,Res+20%,HOA,930863.1308844008,17.202501089309276,0.0,0.0,103.05846556087425,1330118.4938785057
ITAE,S3,Res+20%,PSO,930863.1308844008,17.202501089309276,0.0,0.0,103.05846556087425,1329858.658066161
ITAE,S3,Res+20%,SKA,930863.1308844008,17.202501089309337,0.0,0.0,103.05846556093758,1329858.6469258706
ITAE,S4,Up Normal,KMA,930863.1308844008,17.094692770996776,0.0,0.0,85.8833962893929,1674258.0787209026
ITAE,S4,Up Normal,GA,930863.1308844008,17.152605698786438,0.0,0.0,64.41953287955468,1698466.3314302377
ITAE,S4,Up Normal,HOA,930863.1308844008,17.094692770996776,0.0,0.0,82.0647298191912,1674531.5925750209
ITAE,S4,Up Normal,PSO,930863.1308844008,17.094692770996776,0.0,0.0,85.88339264199969,1674258.0789789008
ITAE,S4,Up Normal,SKA,930863.1308844008,17.094692770996964,0.0,0.0,85.88355637505826,1674258.0673961365
ITAE,S5,Up Mass+,KMA,930863.1308844008,17.379282118249694,0.0,0.0,67.31187035056242,1786211.1557634855
ITAE,S5,Up Mass+,GA,930863.1308844008,17.45277919644099,0.0,0.0,90.3116792666619,1813306.3165242907
ITAE,S5,Up Mass+,HOA,930863.1308844008,17.379282118249694,0.0,0.0,69.93446534045275,1786485.1349799368
